text,label
স্বাধীনতাকে ছোট করে দেখার সুযোগ নাই।,0
"যাদের দেওয়ার মতো কেউ নেই, তারা আমাকে দিতে পারে,",1
বাঙ্গালির আবেগ নিয়ে খেলা করছে সে।,0
"এমেকো ১০০৬ চেয়ারটি নিয়মিত বিভিন্ন ডিজাইন ম্যাগাজিন এবং চলচ্চিত্রে উপস্থাপিত হয়েছে, যেমন দ্য ম্যাট্রিক্স, ল অ্যান্ড অর্ডার এবং সিএসআই।",0
অসৎ লোকজনের উন্নতি বেশিদিন টিকেনা।,0
ভাইটার নুরানি ফেস দেখে মনটা ভরে গেল,0
শেষ ভালো যার সব ভালো তার।,0
পিসি বিল্ড করার সাধ্য নেই তবু ও পিসি বিল্ডের ভিডিও দেখি,0
পকেটে হাত দিয়ে দাড়াই আছে এই জিনিস টা কি?...,1
স্টার্টআপগুলো সাধারণত গবেষণামূলক কাজে জড়িত থাকে।,0
ভাষার মাসে ভাষা প্রয়োগ করতে না পারায় খুবই দুঃখিত এই স্বাধীনতা কি চেয়েছিলাম,1
"গালি ও যে একটা আর্ট হতে পারে, ফাহাম ভাই তা দেখিয়ে দিয়েছেন। অসাধারণ লুক আর কথার জাদুতে জাস্ট মানুষ মুগ্ধ হয়ে যায়।",0
শাকিব খান এইগোলা কি সুরু করলো,1
"বিয়ে করার ইচ্ছা নাই বলে পড়ালেখার ভং ধরছিলাম,এখন পড়ালেখা করারও ইচ্ছা নাই।",1
আরে তোদের বাংলাদেশ আবার কোন দেশ নাকি? ভারত সহ সব দেশের কাছে ভিক্ষা নিয়ে তোদের চলে। এখন চীন এবং পাকিস্তানের কাছে ভিক্ষা চাইছিস এখন ভারত তোদের কাছে চক্ষুশূল হয়ে গেছে। এইতো আমাদের চিত্র তারকা সাইফ আলী খান তাকেও তোদের বাংলাদেশ থেকে বেআইনিভাবে এসে শরিফুল ইসলাম ছুরি মেরে নৃশংসভাবে আহত করে দিয়েছে মৃত্যুও হতে পারতো। শরিফুল ধরা পড়েছে। এসব তোরা কবে বন্ধ করবি?,0
তোর বউ কে এক বছর এর জন্য দিবি কয়েকটি ভিডিও আর পেজ এ রিচ বাড়িয়ে ফেরত দিয়ে দিমু,1
"এরকম পরিস্থিতিতে আমরা যদি সতর্ক না থাকি, তবে আমাদের লেখার মান কমে যেতে পারে।",0
চালিয়ে যান- আমরা আছি আপনার পাশে।,0
"চিঠিটি বিভিন্ন বিতর্কের জন্ম দিতে পারে, তবে আলোচনার দরজা খোলা থাকা উচিত।",0
অত্যন্ত দুঃখজনক ঘটনা আশা করি সমাজের বিত্তবান ধনী ব্যক্তিগণ এগিয়ে আসবেন এই সমস্যার সমাধানে,0
পরিবেশ রক্ষা করার জন্য সবার অংশগ্রহণ অত্যন্ত গুরুত্বপূর্ণ।,0
চমৎকার ভিডিও।ছোটবেলায় দেখতাম কল নষ্ট হয়ে গেলে আব্বু ঠিক করে দিতো।সবার জন্য অনেক অনেক শুভকামনা ও ভালোবাসা রইলো।সবাই একসাথে এগিয়ে যাবো ইনশাআল্লাহ,0
তুমি কি আমার খামারের রাখাল হবে? নাকি সেফুদার মতো নিজের গর্জন করে যাবে। হিরো সে আসলেই হিরো। সুবর্ণ তোমার সন্তান আর হিরোর বাবা কি ছিলো? যোগ্যতার ভাব করিসনে খোকা পাগল হতে বেশি সময় লাগবে না।,1
সঠিক পরিকল্পনা ও গবেষণার মাধ্যমে এই খাতকে আরও সমৃদ্ধ করা সম্ভব।,0
বেডির ধর্য্যের ব্যপার টা মাশাল্লাহ,1
কোচিং সেন্টারগুলো এক্সাম প্রাইজমানির জন্য ছাত্রদের আকৃষ্ট করে এবং ফ্রি কোর্স অফার করে।,0
কল্পনার জীবনে নতুন একটা সুখের শুরু হোক।,0
"সব কিছুর জন্য আল্লাহর হুকুম প্রয়োজন,",0
সব মানষিক শান্তি টাকার মধ্যে নেই রে ভাই... কিছু কিছু মানষিক শান্তি বিশেষ কিছু মানুষের কাছেই থাকে...,0
রাজনৈতিক স্থিরতা উন্নয়নের জন্য দরকার।,0
জমিসহ সেমি পাকা টিনশেড বাড়ি বিক্রি হবে খুব ইমারজেন্সি তাই মাত্র ২২ লাখ টাকায়। সম্পূর্ণ নির্ভেজাল কাগজপত্র।,0
"মাঝে মাঝে মনে হয়, মানুষ কীভাবে এত কিছু সামলাতে পারে!",0
মানুষের আবিষ্কার মানুষ ধংসের কারণ হবে,0
"আমি বসুন্ধরা টয়লেট টিস্যু দেখিনি, শাওনের কোমল টিস্যু দেখেছি।",1
"কোনো একটা সময়ের খুব প্রিয় একটা গান। হারানো কিছু দিন, কিছু সময়ের কথা মনে করিয়ে দিলো",0
ফার্স্ট ইমপ্রেশন খুবই গুরুত্বপূর্ণ। কারণ কোন কথা বলার আগেই একজনের সাথে সাক্ষাত হওয়ার তিন থেকে পাঁচ সেকেন্ডের মধ্যেই তার সম্পর্কে একটা ধারণা হয়ে যায়। We never get a 2nd chance to make the first impression.,0
"তিনি অভিনেত্রী হলে, সাবানা,ববিতা,কবরি সবাই ফেল করতো",1
বাটপার হইলেও মা ভক্ত,1
"ধন্যবাদ আপনাদের!! দারুন কিছু মুহুর্ত উপহার দিলেন!! কনটেন্ট এর এতো বৈচিত্রতার মাঝে কখনোই টানা এতক্খন specific কোন একটাতে নীরবচ্ছিন্ন ভাবে সেঁটে থাকিনি, এখানে যেভাবে শেষঅব্দি লেগে ছিলাম!!",0
পাকা পেঁপে কাটার পরে যেই বিচিগুলি একদম কালো কুসকুসে দেখা যাবে সেগুলোই হলো বিচ ও অতিরিক্ত ফলন দরবে,0
প্রতিদিন অসংখ্য মানুষ হাসপাতালে চিকিৎসা নিতে আসেন,0
একদম সঠিক কথা বলেছেন নিজের ঘরই হতে পারে আয়নাঘর,0
"দুইজন মিলে বেডরুমের খাট ভাঙ্গলে, কিন্তু বাড়ির গেট ভাঙ্গার কাজটা একজন ই করিতেছে ব্যাপারটা কি খুশিতে, ঠেলায়, নাকি ঘুরতে?",1
নিম গাছের চাষ বাড়াতে সরকারি প্রকল্প নেওয়া যেতে পারে,0
"একজন এই বয়সেই চুরি শিখছে, অন্য জন অশ্লীলতায় জড়ায়ছে",0
ঠিক একই কারণে পোলাডা আজও সিঙ্গেল হয়ে সিঙ্গাপুরে পরে আছে,1
"ভালোবাসা সুন্দর , কিছু কিছু কাপুরুষের জন্য ভালোবাসার উপর থেকে বিশ্বাস উঠে যাচ্ছে",0
আসলেই বাংলাদেশের ইউটিউবার গুলো অন্যান্য দেশের থেকে পিছিয়ে নেই,0
"নিউজফিড দেখতে দেখতে মনে হচ্ছে, আমার চারপাশের বাতাস ভারি হয়ে উঠেছে, নিঃশ্বাস নিতে কেমন কষ্ট লাগতেছে!",0
যারাই ভালো কাজগুলো করতেছে আল্লাহ তাদেরকে দীর্ঘ নেক হায়াত দান করুক আরো অসংখ্য ভালো কাজ করার জন্য,0
উনার মতো মানুষদের জন্যই সমাজ এখনো এতটা সুন্দর,0
চাচা হেনা পেগনেট কিনা আমরা মিষ্টি কবে খাবো,1
"ঢুকবো কলেজে, বের হবো বিশ্ববিদ্যালয় ছাত্র হয়ে বাহ বাহ বাহ",1
"এই বিষয়ে ভিন্নমত থাকা স্বাভাবিক, কিন্তু ভাবার মতো একটি লেখা",0
উনি আওয়ামী লীগ আর ভারতের পিছনে আগুন লাগিয়ে ছেড়ে দিচ্ছেন। উগ্রবাদী তো হবেই...,0
এরকম সময় না চেয়ে ভিক্ষা করো সেটা আরো ভালো হবে,0
অধীর আগ্রহ নিয়া বসে আছি আপা... আপা চলে আসুন আপা।আমরা আছি আপা আপা আপা...,1
এই মালটার খুব জ্বলছে৷ পাছায় বরফ লাগাও বাছা।,1
"সহশিক্ষা সঠিকভাবে পরিচালিত হলে অনেক ধরনের সামাজিক বাধা কমতে পারে, তবে সঠিক নিয়ম মেনে চলাটাও গুরুত্বপূর্ণ।",0
এই সমস্যার সমাধান একমাত্র রিপন ভাই দিতে পারবে। এটাই বাস্তব আইলাভিও,1
"ভাই সেটা কোন এংগেল থেকে বললেন? যেই জায়গায় আছেন সেটা অনেকের কাছে একটা স্বপ্ন। যে যতই মরিচীকা বলুক বা যাই বলুক, এটাই বাস্তব। আমি আপনারই ফ্যান ভাই। আমার ও ইচ্ছে করে আপনার মত হওয়ার।",0
নীতির প্রভাব ভবিষ্যতে বোঝা যাবে।,0
দেশে রাসুলের অপমানের বিক্ষোভ চলতেছি তাই এটা সব সরকারকে ছাল,0
কিডনি কেপে উঠলো,0
নীচে মটর দেখাই যাচ্ছে! পরিদর্শকরা কি হিসাবে লেখছে জানিনা।,0
সকালে ক্লাস করলে লাভ কি??,1
রান্না করে বউ কে খাওয়ার নিয়ত আছিলো মনে হয়,1
বঙ্গ ওরফে বন্ধু একা একা অনেক কষ্টে আছে। আমি দোয়া করি আপনারা তার কাছে গিয়ে বিচার দিন।,1
তুমি ফিরবে আবার বিশ্ব সেরা হয়েই ফিরবে,0
আসছে ফাগুনে বাড়া হবে দিগুণ।,1
মাননীয়া প্রধানমন্ত্রী আপনি দেখছি আপনার তথাকথিত সস্তা আওয়ামী ফেসবুকার আর ব্লগারদের ভাষায় কথা বলছেন। অত্যন্ত নিন্দনীয়।,0
নবাব সিরাজ-উদ-দৌলার পর আপন খালার জন্য নিজের ক্যারিয়ার ধ্বংস হওয়া দ্বিতীয় জন টিউলিপ সিদ্দিক!,1
অজানা তথ্য প্রকাশ করার জন্য ধন্যবাদ।,0
"সাংবাদিক শুক্রাণুর মতো, হাজারে একটা মানুষ হয়",1
ভাই ভিডিও দেখতে দেখতেই এই উম শুনে আমার মাথা গরম হয়ে গেছে।এই মেয়ে কেমনে সহ্য করছে।ধৈর্য আছে ভালো,1
তামিমের চেহারা অনেকটা ইলিয়াস কাঞ্চনের মত হয়েছে দেখতে...,0
বাইক এক্সিডেন্ট ৯০ ক্ষেত্রে বাইকার দায়ী।,0
তোর গার্লফ্রেন্ড এর এমন ব্যবহার কেন?,1
"ডিম থেরাপি দিলে কিন্তু হবেনা, নারকেল থেরাপি দিতে হবে",1
দুর্নিতিবাজদের সকল সম্পদ বাজেয়াপ্ত করে রাষ্ট্রের ঋণ পরিশোধ করতে হবে,0
তারা ভাবছে বাকি ১০০ বছর তারাই শাসন করবে।অতিরঞ্জিত কিছু ভালো নয়।,0
"শত চেষ্টা করেও এই প্রজন্মের কাছ থেকে আপনি বঙ্গবন্ধু,মুক্তিযুদ্ধ ও জয় বাংলা'কে মুছে দিতে পারবেন না।",0
"আপাতত পোস্টে হা হা দিয়ে গেলাম আমি পরে এসে কমেন্ট করবো। আমি এখন হাসপাতালে,আমার গ্রামের চাচাতো ভাই ১৬ জিবি মেমোরি গিলে ফেলেছিলো এখন সে সব গান গাইতেছে আমরা সবাই প্রার্থনা করি যাতে সে ভিডিও ফোল্ডারে না প্রবেশ করে ।",1
"আমেরিকায় অনেক খালি জায়গা আছে, সেখানে ইসরাইল রাষ্ট্র প্রতিষ্ঠা করতে পারে",0
আপনার সিদ্ধান্ত আপনার মনের উপর নির্ভর করুক।,0
"বিসিএস প্রস্তুতির জন্য এ ধরনের অভিজ্ঞতা শেয়ার করলে অনেক সাহায্য হয়, ধন্যবাদ।",0
"ফিলোসোফি অধ্যয়ন করার ব্যাপারেও গুরুত্ব দেওয়া উচিৎ ,মানুষের জীবনে একটা সময়ে অস্তিত্বের সংকটের একটা দ্বান্দ্বিক পর্যায় আসে এবং ফলস্বরূপ লোনলিনেস ফিল হয়।",0
"ভাই তাদের দোষ দিয়ে লাভ নেই। তারা তো নিরাপদ্ অবস্থানে বসে এসব করে যাচ্ছে। কিন্তু যে সকল ধর্মান্ধ , যারা দুই এক টুকরো গরুর মাংস খাওয়ার লোভে কিছু না বুঝে এসব পথে পা বাড়াচ্ছে, তাদের অর্থ উপার্জনের হাতিয়ার হিসেবে ব্যবহার হচ্ছে তাদেরকে সকলে মিলে প্রতিরোধের ডাক দিন না!",0
"ঠিকই তো আছে, রোবট বলে কি মানুষ না নাকি?",1
"অনেক ছাত্র সফলতা অর্জন করতে একাধিক কোচিং সেন্টারে ভর্তি হয়ে কোর্স সম্পন্ন করে। তবে তাদের মধ্যে একাধিক কোচিং সেন্টারে উপস্থিত থাকার ফলে তাদের অগ্রগতি কিছুটা ধীর হতে পারে, কারণ এটি তাদের সময় ও মনোযোগের বিভাজন সৃষ্টি করে।",0
"লেগেছে রে লেগেছে, রক্তে আগুন লেগেছে।জেগেছে রে জেগেছে,ছাত্র সমাজ জেগেছে।দিয়েছি তো রক্ত, আরও দেবো রক্ত। রক্তের বন্যায়, ভেসে যাবে অন্যায়",0
"যারা আপনাকে বুঝতে চায় না, তাদের গ্রহণ করবেন না।",0
"গাছের মতো, সম্পর্কের মধ্যে যতটা যত্ন নিবেন, ততটাই আপনার সম্পর্ক উঁচুতে উঠবে।",0
ইঞ্জিনিয়ারদের ব্যবহৃত উন্নত সেন্সরগুলি সেতুর নিরাপত্তা এবং কার্যক্ষমতা নিশ্চিত করতে সহায়ক।,0
"আমাদের নিজেদের কাছ থেকে শুরু করতে হবে, একে অপরকে সমর্থন দিতে হবে।",0
"সেনাবাহিনীতে কোন উত্তেজনা নাই, অহেতুক নিজে উত্তেজিত হয়ে অর্গাজম ঘটাবেন না।",1
"ফেরেশতারা সবসময় কল্যাণের জন্য প্রার্থনা করেন, এবং তাদের দোয়া মানুষের জীবনে বরকত ও শান্তি আনে। যখন আমরা ভালো চাই, তখন ফেরেশতারা আমাদের পক্ষেও কল্যাণ কামনা করেন।",0
রক্ত দিয়ে এগিয়ে আসতেছে বিশ্ববিদ্যালয়ের ভাইয়েরা,0
একবার ট্রাই করে দেখিয়েন। হার্টে এক বিশেষ কম্পন অনুভব করবেন।,1
দাদ হয়েছে হয়তো সব জিনিস কে এতো বড় করা উচিত নয়,1
"গাছের জন্য পুষ্টি উপাদান ঠিক রাখা প্রয়োজন, অন্যথায় ফলন কম হবে।",0
বাংলাদেশ আওয়ামীলীগের প্রতিটি নেতা কর্মীকে অফুরান ভালবাসা এবং শ্রদ্ধা।,0
সফল কৃষক,0
বিচ্ছেদের মাধ্যমে ভালোবাসা উপলব্ধি করা যায়,0
"কতৃপক্ষের কাছে বিনীত অনুরোধ বাসের ভিতরের ইন্টিরিয়র উন্নত করার অনুরোধ করছি, বরিশাল বাসির পক্ষে অগ্রিম শুভেচ্ছা",0
অবশ্যই তার সাথে চুক্তি করতে হবে। চুক্তি অনুযায়ী অর্থ না দিলে ক্ষতিপূরণ দিতে হবে।,0
চাইনিজ কমিউনিস্ট রেভোলুশন নিয়ে একটা ভিডিও বানাতে পারেন,0
"কল্পনার জন্য সবাই মিলে যা করলেন, তা সত্যিই প্রশংসার যোগ্য।",0
চে থাকতে তাদের এতো অবহেলা করি কেন?অল্পতেই সিরিয়াস হয়ে যাই কেন?,1
আগে ১০০ জনের মধ্যে ৯৯ জনি মাক্স পড়তো এখন ৯৯ জন পড়ে না ১ জন পড়ে,0
অনুষ্ঠানের চার-পাঁচ দিন আগে এক বিকেলে বাড়ির সামনে বসে ছোট মামার সঙ্গে গল্প করছি।,0
পাশে থাকলে পাশে পাবেন ইনশাআল্লাহ,0
বাংলাদেশে যাকিছু মহান সৃষ্টি চিরকল্যাণকর অর্ধেক তার করেছে নারী বাকী অর্ধেক নারীর বর,1
"আজব রাজার অবাক দেশ- উন্নয়নে চলছে বেশ, শহিদুলের কথা মানতে পায় ব্যথা, প্রিয়ার দেওয়া দেশকে ব্যাথাহয়ে যায় অন্য বা অন্যান্য কথা।মিন্নি মেয়েটি পায়না উকিলপ্রিয়ার দেশদ্রোহে মামলাই নেয় না, কি হবে গো উকিল?বাঁচাতে গিযে স্বামীকে মিন্নি হয়ে গেলো ভিলেন গিন্নী। ফাঁসিয়ে দিয়ে দেশকে প্রিয়া দিদিহবেন হয়তো দেশপ্রেমী মমতা দিদি।",0
সবার জন্য সেম বেতন থাকবে,0
কিরে ভাই আপনাদের পেজের কমেটগুলোর এই অবস্থা কেনো? গ্রামের চাচাতো ভাই ভরা,0
"বাংলাদেশই মেবি একমাত্র দেশ যেখানে অপরাধির অপরাধকে শিকার না করে, বরং তার জন্য সাফাই গাওয়া হচ্ছে!",0
আমার জামাইয়ের কষ্ট করে ৪ বিয়ে করা লাগবে না সে আমার মধ্যে চার ধরনের মেয়ে খুঁজে পাবে...,1
"এমন কথা শুনলে মন খারাপ হয়ে যায়। আমাদের উচিত, নিজের মধ্যে সৎ ও সহানুভূতির ভাবনা রাখা।",0
আমরা কেন ভুলে যাই সব কিছু দুই দিনের।,1
"দেশে গৃহযুদ্ধর জন্য এই এরাই দায়ী থাকবে,বিদেশে বসে মানুষকে চুলাকাচ্ছে",0
খুবি দুখ ঝনক যে আজ ভালোবেচে এই অবস্থায় পতিত হতে হলো নিজেকে।,1
তবে আমি খুব আসা করছিলাম তাসকিন জায়গা পাবে,0
এই স্বাধীনতাই আমরা চেয়েছিলাম?? যে মেয়েদের হলে ঢুকতে পারবো না,1
"এরে সেলিব্রিটি বানাইছে কারা? ভাই তোর মত প্রতিভা, যাঁদের অস্তিত্ব মানুষের ভাল লাগা আর প্রশংসার উপর নির্ভর করে তাদের এত অহংকার ঠিক না। যারা তোরে হুদাই সেলিব্রিটি বানাইছে তাদের বিরুদ্ধেই তোর এত অভিযোগ? সত্যটা হল যে তোমার যোগ্যতা আর পরিচয় দুটোই এই ১৮ কোটি মানুষের এপ্রিসিয়েশন ।",0
নারীর উপর সামাজিক চাপ ও প্রভাব নিয়ে নারী লিখবে! আপনার লেখা বরং পুরুষের চোখে নারীর উপর সামাজিক চাপ টাইপের লেখার সাথে বেশি মিল পাওয়া যাচ্ছে।,0
রোগীর স্বজনরা মিথ্যা অভিযোগ করলে চিকিৎসা সেবার গুণগত মান ব্যাহত হতে পারে। এই সমস্যার সমাধানে সচেতনতা প্রয়োজন।,0
"আমার সাথে কোনো পুরুষের ছবি দেখা মাত্রই লোকে ধারণা করে নেয়, আমি হয় এর সাথে প্রেম করছি অথবা একে ভোগ করছি৷",0
"বুঝলাম না, আমার সামনে কেনো এসব আসে আমি তো সিঙ্গেল",1
"কেউ হাঁ হাঁ রিয়েক্ট দিয়ে সাহস পায় নাই , ভাবছে তার সাথে যদি হঠাৎ এমন হয়",0
স্ত্রী বা প্রেমিকার সাথে ভালো সময় কাটানো জীবনের অন্যতম সেরা অভিজ্ঞতা।,0
এটা একমাত্র বাংলাদেশের পোলাপান দ্বারা সম্ভব অথচ বাউন্ডারিতে বল ঠেকাতে যেয়ে এই অবস্থা,1
আমিও এটাই বলতেছিলাম এতো উড়তেছে মানে পোলাপান এর লিংক বের করেই ছাড়বে।,0
আসিফ নজরুলের শাশুড়িকে আটকে রাখবে এমন কারাগার বাংলাদেশে এখনো তৈরি হয় নাই।,1
আমি মুচকি হাসলে খালি কয় 'ওইযে কি দেইখা জানি পাগলের মতো হাসতাছে একাই'।,0
ভাই এক দের মাস না। ওইটা এক দের বছর হবে। ভালো করে সংবাদ দেখে তারপর পোস্ট কইরেন। মানুষকে ভুল তথ্য দিয়ে বিভ্রান্ত করবেন না,0
"তাহাজ্জুদে দাঁড়িয়ে আল্লাহর কাছে ছোট থেকে বড় সব চাওয়া চেয়ে দোয়া করুন এবং এই নামাজে সৃষ্টিকর্তার কাছে অগাধ ক্ষমা এবং রহমত চান যেন আল্লাহ অসম্ভব আশাগুলো ও পুরণ করে দেন।""",0
বিশ্বাস করেন ভাই হাতে গুনা ১ ২ জন মানুষ ছাড়া বিপদে কাউকে পাবেন নাহ বাস্তব অভিজ্ঞতা থেকে বলছি,0
টাকা না থাকলে ভালোবাসা জানালা দিয়ে পালায়,1
আমিতো ফ্যান হয়ে গেলাম আসলেই যে যত দেশ প্রেমিক হবে। আমাদের ও দেশের শত্রু ভারত বিরোধীতার প্রমান দিবে। আমরা এদেশকে ভালবাসি,0
"বইটির পরিপ্রেক্ষিতে কিছু ভাল দিক আশা করা যাচ্ছে, তবে পর্যালোচনা দেখে তবেই মন্তব্য করা যাবে।",0
তোর বাটন ফোনের পিকটা মনে হয় আমিই তুলছিলাম,1
"২ ব্যাগ শপিং করতে ২ বান্ডিল টাকা লাগলো এতো দাম আল্লাহ্,, যামুনা কিনতে। ঘুরতে যাইতে পারি",1
যেন এর বাইরে কারো সাথেই আমার কোনো লেনাদেনা থাকা সম্ভব না৷,0
"আজ আছে,কাল নাও থাকতে পারে।যাকে কষ্ট দিয়ে আজ কথা বলসি, কাল সরি বলার জন্য তাকে নাও পেতে পারি।",1
আল্লাহ না করুক সামনে তো আরও পরীক্ষা আছে মজা টা যদি সত্যি হয়ে যায়?,0
ধনের পোস্ট সেই ভালো হইসে । শুধু এইটাই বলব কোথায় রাজরানী আর কোথায় চুতমারানি,1
"সবই বুঝলাম, কিন্তু শারমিন ডা ক্যাডা?",1
বর্তমানে সাংবাদিক গুলো সাংঘাতিক হয়ে গেছে।,0
গ্রোথ কোডের প্রতিশ্রুতি ও গুরুত্ব বিশ্লেষণ করে বোঝা যাবে এটি কতটা কার্যকর।,0
ধানমন্ডি ৩২ এর থেকেও প্রথম আলো বেশি শক্তিশালী? বাংলাদেশ ধংশ করার এক মাএ দায়ী ইন্ডিয়ান এজেন্ট মোদির আলো জয় বাংলা করে দিতে হবে।,0
আপা আপনার জন্য দোয়া রইলো যাতে করে অনেক দুরে আগাইয়া যাইতে পারেন কিন্তু আর যাতে পিরে নাহ আসেন,1
সন্তানের প্রতি মায়ের ভালোবাসা চিরন্তন।,0
"সত্যি,, আমার মেয়েও এমন করে",0
পরবর্তী খেলা গুলো হারলেও বাদ পড়ার সম্ভবনা আছে ঢাকা ক্যাপিটালসের,1
স্বপ্ন তো পুরন করবোই শিক্ষার্থী হিসেবে না হোক বাসের হেলপার হিসেবে,1
নিঃসন্দেহে প্রশংসনীয় স্থান মহান রব্বুল আলামীনের জিবনে যা দিছেন যে অবস্থানে রাখছেন আলহামদুলিল্লাহ,0
যে যেই যায়গার লোক তার টার্গেট তো সেখানেই থাকবে,1
সিন্দুক বন্ধ করে রাখা টাকার উপযোগিতা কি ভাই। উদাহরণ দিবেন তাও আবার ভুলভাল।,0
"বাংলাদেশে অনেক প্রতিভা রয়েছে, কিন্তু তাদের পক্ষে দাঁড়ানো প্রয়োজন।",0
আগের বারে কি বাইক বাড়িতে রেখে আসছিল নাকি,1
"এটি শুধু বাংলাদেশ নয়, বিশ্বের অন্যান্য দেশেও গুরুত্বপূর্ণ",0
"আপনারা খেলা উপভোগ করতে না,, আসেন মডেলিং করতে।",1
সারা-রাত ব্যালট বক্স ভরিয়ে বিজয় পোস্ট ? হাহাহাহাহা মজা পেলুম সুষ্ঠু ভোট হইলে জামানত হারাইবেন,0
ভাই মনের কথা বলছেন আপাদতো সিনগেল আছি তাই,1
মামা হইতো চানদের দেশে গেছে...,1
"চেহারা যেমনি হোক, ছেলেরা সব কিছু বড় বড় পেলেই খুশি",1
যেখানে সম্মান পাবে সেখানেই যাওয়া উচিত।,0
আপনারা এত বুদ্ধি নিয়ে ঘুমান কেমনে ভাই,1
ভাই ইনবক্স করেন আপনারে কয়ডা গালি দিছি,1
"বিশ্বাস ও নিরাসক্তি, আনে মহাশক্তি",0
পাহার,0
"যার ভাগ্যের ধর্মঘট টানলে লাগে,কাগজ মাথায় আগুন ধরায় টানতেসি",1
"সব দৃষ্টিভঙ্গি ঠিক বা ভুল নয়, পরিস্থিতির উপর নির্ভর করে",0
আত্মার সম্পর্ক কেবল বৃদ্ধের সাথে বাচ্চার। বাকিরা প্রপার্টির আশায় আছে,0
সব ভোট চোর লীগকে ধরতে হবে,0
কথা কি পরিস্কার নাকি ভেজাল আছে,1
দুইয়ের যোগফলে নব্বইয়ের দশকে তাই গড় বাংলাদেশি পাঠকের পাঠতালিকায় সবচেয়ে বেশি থাকেন হুমায়ূন-মিলন।,0
এত বড় চাঁদ হলে আমরা তো চাঁদের আলোতে মরে যাব।,1
হাল্কা কারেকশন উপরের দাগ কালো,1
"ভাই, গ্রামে যান উনারা এত কিছু বোঝেনা। ১৪ ১৫ থেকে শুরু করে ছেলে মেয়েদের বিয়ে দিয়ে দেয়। ছেলেকে ভ্যান, দোকান, ক্ষেত, খামারে কাজে লাগায়া দেয়। তাদের একটাই কথা ছেলে মেয়ে ডাগর হইছে মনে বয়স হয়ে গেছে। এরাই সুখে আছে।",0
পাগলীর উত্তেজিত পাগলামি দু'দিন যাবত বড্ড বাড়াবাড়ি ছিল।,0
নিজের ভালো লাগাকে গুরুত্ব দিন।,0
"সংস্কার শেষ করলেই নির্বাচন দিয়ে দিবে,একটু ধৈর্য্য ধরান করুন!",0
সন্তানের সাফল্য মায়ের মুখে হাসি আনে।,0
হিরো আলম তো লেখক এসব লেখক কে আমরা কেনো লেখক বলবো?,0
"সৃষ্টির সেরা জীব মানুষ , আর এই মেশিন গুলো মানুষই বানিয়েছে",0
পাকা খেলোয়াড়,1
কোন রঙের গোলাপ দিবো সেটা পরের কথা। আমি গোলাপ দেওয়ার মানুষই পাচ্ছি না।,1
এই নিউজের রিপোর্টার কি মগা নাকি? শুরুতেই নাস্তিক কিভাবে বলতে পারেন?,0
এক সময়ের ধর্ম প্রতিমন্ত্রী জনাব কায়কোবাদ ২০০৭ সালে আমাদের হজ্ব ব্রত পালন কালে আমাদের সব ধরনের সহযোগিতা করেছিলেন । তার আচরণ আমাদের নিকট মহা মানবের ন্যায় উপলব্ধি হয়েছিল অভার অল তিনি ভাল মানুষ ।,0
সবাই কে প্রেগন্যান্ট করার ধান্দা,1
